18:38:30 === Wiki generation started ===
18:38:30 [initializing] Started (total: 0)
18:39:30 [modules] Started (total: 0)
18:40:07 [modules] Complete (2 items, 37.3s, 3.2/min)
18:40:07 [file_docs] Started (total: 71)
18:40:30 [1/71] Completed: src/local_deepwiki/server.py (23.1s, 2.6/min, ETA: 26m 57s)
18:40:45 [2/71] Completed: src/local_deepwiki/logging.py (14.2s, 3.2/min, ETA: 21m 27s)
18:41:11 [3/71] Completed: coverage_html/coverage_html_cb_dd2e7eb5.js (26.6s, 2.8/min, ETA: 24m 8s)
18:41:32 [4/71] Completed: htmlcov/coverage_html_cb_dd2e7eb5.js (21.1s, 2.8/min, ETA: 23m 42s)
18:42:00 [5/71] Completed: coverage_openai_embeddings/coverage_html_cb_dd2e7eb5.js (27.3s, 2.7/min, ETA: 24m 41s)
18:42:34 [6/71] Completed: src/local_deepwiki/cli_progress.py (34.9s, 2.4/min, ETA: 26m 33s)
18:43:16 [7/71] Completed: src/local_deepwiki/events.py (41.1s, 2.2/min, ETA: 28m 41s)
18:44:25 [8/71] Completed: src/local_deepwiki/handlers.py (1m 9s, 1.9/min, ETA: 33m 52s)
18:45:31 [9/71] Completed: src/local_deepwiki/models.py (1m 5s, 1.7/min, ETA: 37m 6s)
18:46:34 [10/71] Completed: src/local_deepwiki/config.py (1m 3s, 1.6/min, ETA: 39m 21s)
18:47:14 [11/71] Completed: src/local_deepwiki/watcher.py (39.5s, 1.5/min, ETA: 38m 46s)
18:48:01 [12/71] Completed: src/local_deepwiki/prompts.py (46.7s, 1.5/min, ETA: 38m 46s)
18:49:00 [13/71] Completed: src/local_deepwiki/validation.py (59.1s, 1.5/min, ETA: 39m 35s)
18:49:38 [14/71] Completed: src/local_deepwiki/core/secret_detector.py (37.9s, 1.5/min, ETA: 38m 41s)
18:50:13 [15/71] Completed: src/local_deepwiki/progress.py (35.0s, 1.5/min, ETA: 37m 39s)
18:51:16 [16/71] Completed: src/local_deepwiki/errors.py (1m 3s, 1.4/min, ETA: 38m 17s)
18:52:21 [17/71] Completed: src/local_deepwiki/core/chunker.py (1m 4s, 1.4/min, ETA: 38m 49s)
18:53:44 [18/71] Completed: src/local_deepwiki/core/audit.py (1m 23s, 1.3/min, ETA: 40m 5s)
18:54:31 [19/71] Completed: src/local_deepwiki/core/llm_cache.py (46.5s, 1.3/min, ETA: 39m 23s)
18:55:37 [20/71] Completed: src/local_deepwiki/core/parser.py (1m 6s, 1.3/min, ETA: 39m 31s)
18:56:24 [21/71] Completed: src/local_deepwiki/core/indexer.py (46.9s, 1.3/min, ETA: 39m 44s)
18:57:40 [22/71] Completed: src/local_deepwiki/core/vectorstore.py (1m 16s, 1.2/min, ETA: 41m 28s)
18:58:35 [23/71] Completed: src/local_deepwiki/core/rate_limiter.py (54.6s, 1.1/min, ETA: 41m 45s)
18:59:34 [24/71] Completed: src/local_deepwiki/core/index_manager.py (58.7s, 1.1/min, ETA: 42m 21s)
19:00:28 [25/71] Completed: src/local_deepwiki/core/fuzzy_search.py (54.4s, 1.1/min, ETA: 42m 29s)
19:01:33 [26/71] Completed: src/local_deepwiki/core/git_utils.py (1m 5s, 1.1/min, ETA: 42m 42s)
19:01:56 [27/71] Completed: src/local_deepwiki/security/repository_access.py (23.0s, 1.1/min, ETA: 41m 5s)
19:03:25 [28/71] Completed: src/local_deepwiki/core/deep_research.py (1m 28s, 1.1/min, ETA: 40m 49s)
19:03:52 [29/71] Completed: src/local_deepwiki/security/role_config.py (27.4s, 1.1/min, ETA: 38m 33s)
19:04:21 [30/71] Completed: src/local_deepwiki/plugins/base.py (29.4s, 1.1/min, ETA: 36m 27s)
19:04:53 [31/71] Completed: src/local_deepwiki/security/access_control.py (31.4s, 1.1/min, ETA: 35m 17s)
19:05:24 [32/71] Completed: src/local_deepwiki/plugins/registry.py (30.8s, 1.2/min, ETA: 33m 54s)
19:05:35 [33/71] Completed: src/local_deepwiki/providers/credentials.py (11.6s, 1.2/min, ETA: 31m 31s)
19:06:14 [34/71] Completed: src/local_deepwiki/web/app.py (39.2s, 1.2/min, ETA: 30m 44s)
19:07:23 [35/71] Completed: src/local_deepwiki/providers/base.py (1m 8s, 1.2/min, ETA: 30m 54s)
19:08:08 [36/71] Completed: src/local_deepwiki/providers/llm/anthropic.py (45.1s, 1.2/min, ETA: 29m 31s)
19:08:49 [37/71] Completed: src/local_deepwiki/providers/llm/openai.py (41.1s, 1.2/min, ETA: 28m 0s)
19:09:11 [38/71] Completed: src/local_deepwiki/providers/llm/cached.py (22.3s, 1.3/min, ETA: 25m 29s)
19:09:59 [39/71] Completed: src/local_deepwiki/providers/llm/ollama.py (47.2s, 1.3/min, ETA: 24m 44s)
19:10:26 [40/71] Completed: src/local_deepwiki/providers/embeddings/local.py (27.6s, 1.4/min, ETA: 22m 57s)
19:10:58 [41/71] Completed: src/local_deepwiki/cli/config_cli.py (32.2s, 1.4/min, ETA: 21m 51s)
19:11:27 [42/71] Completed: src/local_deepwiki/providers/embeddings/openai.py (29.1s, 1.5/min, ETA: 19m 59s)
19:11:59 [43/71] Completed: src/local_deepwiki/cli/interactive_search.py (31.8s, 1.5/min, ETA: 18m 45s)
19:12:41 [44/71] Completed: src/local_deepwiki/providers/embeddings/cache.py (41.4s, 1.5/min, ETA: 17m 42s)
19:13:11 [45/71] Completed: src/local_deepwiki/generators/examples_plugin.py (30.7s, 1.6/min, ETA: 16m 32s)
19:13:42 [46/71] Completed: src/local_deepwiki/generators/stale_detection.py (30.5s, 1.6/min, ETA: 15m 10s)
19:14:41 [47/71] Completed: src/local_deepwiki/generators/manifest.py (59.2s, 1.6/min, ETA: 15m 17s)
19:15:38 [48/71] Completed: src/local_deepwiki/generators/wiki_pages.py (56.9s, 1.6/min, ETA: 14m 3s)
19:16:13 [49/71] Completed: src/local_deepwiki/generators/toc.py (34.5s, 1.6/min, ETA: 13m 34s)
19:16:45 [50/71] Completed: src/local_deepwiki/generators/progress_tracker.py (32.4s, 1.6/min, ETA: 13m 0s)
19:17:24 [51/71] Completed: src/local_deepwiki/generators/crosslinks.py (39.0s, 1.6/min, ETA: 12m 30s)
19:18:05 [52/71] Completed: src/local_deepwiki/generators/context_builder.py (41.1s, 1.6/min, ETA: 12m 3s)
19:18:52 [53/71] Completed: src/local_deepwiki/generators/dependency_graph.py (46.9s, 1.5/min, ETA: 11m 56s)
19:19:28 [54/71] Completed: src/local_deepwiki/generators/callgraph.py (36.0s, 1.5/min, ETA: 11m 14s)
19:19:54 [55/71] Completed: src/local_deepwiki/generators/coverage.py (26.4s, 1.6/min, ETA: 10m 1s)
19:20:13 [56/71] Completed: src/local_deepwiki/generators/wiki_modules.py (18.9s, 1.7/min, ETA: 9m 3s)
19:20:33 [57/71] Completed: src/local_deepwiki/generators/changelog.py (19.7s, 1.7/min, ETA: 8m 12s)
19:20:59 [58/71] Completed: src/local_deepwiki/generators/wiki_status.py (26.4s, 1.7/min, ETA: 7m 40s)
19:21:53 [59/71] Completed: src/local_deepwiki/generators/wiki_files.py (54.1s, 1.7/min, ETA: 7m 8s)
19:22:48 [60/71] Completed: src/local_deepwiki/generators/api_docs.py (54.3s, 1.6/min, ETA: 6m 47s)
19:23:24 [61/71] Completed: src/local_deepwiki/generators/source_refs.py (36.7s, 1.6/min, ETA: 6m 13s)
19:24:18 [62/71] Completed: src/local_deepwiki/generators/diagrams.py (53.1s, 1.6/min, ETA: 5m 46s)
19:25:02 [63/71] Completed: src/local_deepwiki/generators/search.py (44.8s, 1.5/min, ETA: 5m 13s)
19:25:43 [64/71] Completed: src/local_deepwiki/generators/see_also.py (41.1s, 1.5/min, ETA: 4m 33s)
19:26:38 [65/71] Completed: src/local_deepwiki/generators/test_examples.py (54.3s, 1.5/min, ETA: 4m 1s)
19:27:33 [66/71] Completed: src/local_deepwiki/generators/wiki.py (55.1s, 1.4/min, ETA: 3m 27s)
19:28:14 [67/71] Completed: src/local_deepwiki/generators/glossary.py (41.4s, 1.5/min, ETA: 2m 42s)
19:29:08 [68/71] Completed: src/local_deepwiki/export/html.py (53.5s, 1.5/min, ETA: 2m 1s)
19:29:39 [69/71] Completed: src/local_deepwiki/generators/inheritance.py (31.6s, 1.5/min, ETA: 1m 20s)
19:30:39 [70/71] Completed: src/local_deepwiki/export/pdf.py (59.9s, 1.4/min, ETA: 41.7s)
19:31:19 [71/71] Completed: src/local_deepwiki/export/streaming.py (39.5s, 1.4/min)
19:31:19 [file_docs] Complete (71 items, 51m 11s, 1.4/min)
16:01:57 === Wiki generation started ===
16:01:57 [initializing] Started (total: 0)
16:02:57 [modules] Started (total: 0)
16:03:11 [modules] Complete (2 items, 14.3s, 8.4/min)
16:03:11 [file_docs] Started (total: 71)
16:03:12 [1/71] Completed: src/local_deepwiki/logging.py (0.7s, 81.1/min, ETA: 51.8s)
16:03:32 [2/71] Completed: src/local_deepwiki/server.py (20.4s, 5.7/min, ETA: 12m 9s)
16:03:56 [3/71] Completed: coverage_html/coverage_html_cb_dd2e7eb5.js (23.6s, 4.0/min, ETA: 16m 55s)
16:04:18 [4/71] Completed: htmlcov/coverage_html_cb_dd2e7eb5.js (22.2s, 3.6/min, ETA: 18m 42s)
16:04:50 [5/71] Completed: coverage_openai_embeddings/coverage_html_cb_dd2e7eb5.js (31.3s, 3.1/min, ETA: 21m 37s)
16:05:23 [6/71] Completed: src/local_deepwiki/prompts.py (33.4s, 2.7/min, ETA: 23m 46s)
16:05:59 [7/71] Completed: src/local_deepwiki/cli_progress.py (35.6s, 2.5/min, ETA: 25m 29s)
16:07:45 [8/71] Completed: src/local_deepwiki/events.py (1m 46s, 1.8/min, ETA: 35m 56s)
16:08:26 [9/71] Completed: src/local_deepwiki/handlers.py (40.7s, 1.7/min, ETA: 36m 7s)
16:09:18 [10/71] Completed: src/local_deepwiki/config.py (52.4s, 1.6/min, ETA: 37m 18s)
16:09:56 [11/71] Completed: src/local_deepwiki/models.py (38.1s, 1.6/min, ETA: 36m 49s)
16:10:46 [12/71] Completed: src/local_deepwiki/errors.py (49.5s, 1.6/min, ETA: 37m 14s)
16:11:17 [13/71] Completed: src/local_deepwiki/watcher.py (31.3s, 1.6/min, ETA: 36m 7s)
16:11:58 [14/71] Completed: src/local_deepwiki/progress.py (40.6s, 1.6/min, ETA: 35m 43s)
16:12:47 [15/71] Completed: src/local_deepwiki/validation.py (49.5s, 1.6/min, ETA: 35m 49s)
16:13:16 [16/71] Completed: src/local_deepwiki/core/secret_detector.py (29.3s, 1.6/min, ETA: 34m 40s)
16:14:10 [17/71] Completed: src/local_deepwiki/core/audit.py (53.3s, 1.5/min, ETA: 34m 51s)
16:15:01 [18/71] Completed: src/local_deepwiki/core/chunker.py (51.0s, 1.5/min, ETA: 34m 49s)
16:20:10 === Wiki generation started ===
16:20:10 [initializing] Started (total: 0)
16:20:35 [modules] Started (total: 0)
16:20:49 [modules] Complete (2 items, 13.5s, 8.9/min)
16:20:49 [file_docs] Started (total: 71)
16:21:27 [1/71] Completed: coverage_html/coverage_html_cb_dd2e7eb5.js (37.8s, 1.6/min, ETA: 44m 5s)
16:21:52 [2/71] Completed: coverage_openai_embeddings/coverage_html_cb_dd2e7eb5.js (25.2s, 1.9/min, ETA: 36m 11s)
16:22:47 [3/71] Completed: src/local_deepwiki/handlers.py (55.3s, 1.5/min, ETA: 44m 39s)
16:23:09 [4/71] Completed: src/local_deepwiki/server.py (21.4s, 1.7/min, ETA: 38m 59s)
16:23:32 [5/71] Completed: htmlcov/coverage_html_cb_dd2e7eb5.js (23.3s, 1.8/min, ETA: 35m 51s)
16:24:17 [6/71] Completed: src/local_deepwiki/models.py (45.0s, 1.7/min, ETA: 37m 33s)
16:25:04 [7/71] Completed: src/local_deepwiki/config.py (47.1s, 1.6/min, ETA: 38m 52s)
16:25:38 [8/71] Completed: src/local_deepwiki/cli_progress.py (33.7s, 1.7/min, ETA: 37m 54s)
16:25:53 [9/71] Completed: src/local_deepwiki/logging.py (15.0s, 1.8/min, ETA: 34m 52s)
16:26:33 [10/71] Completed: src/local_deepwiki/events.py (40.7s, 1.7/min, ETA: 35m 1s)
16:27:07 [11/71] Completed: src/local_deepwiki/prompts.py (34.0s, 1.7/min, ETA: 34m 24s)
16:27:59 [12/71] Completed: src/local_deepwiki/errors.py (51.7s, 1.7/min, ETA: 35m 15s)
16:28:39 [13/71] Completed: src/local_deepwiki/watcher.py (40.2s, 1.7/min, ETA: 34m 58s)
16:29:35 [14/71] Completed: src/local_deepwiki/progress.py (56.1s, 1.6/min, ETA: 35m 43s)
16:30:23 [15/71] Completed: src/local_deepwiki/validation.py (47.1s, 1.6/min, ETA: 35m 41s)
16:30:56 [16/71] Completed: src/local_deepwiki/core/secret_detector.py (33.9s, 1.6/min, ETA: 34m 48s)
16:31:44 [17/71] Completed: src/local_deepwiki/core/audit.py (47.4s, 1.6/min, ETA: 34m 40s)
16:33:38 [18/71] Completed: src/local_deepwiki/core/chunker.py (1m 53s, 1.4/min, ETA: 37m 43s)
16:34:21 [19/71] Completed: src/local_deepwiki/core/llm_cache.py (43.4s, 1.4/min, ETA: 37m 2s)
16:34:55 [20/71] Completed: src/local_deepwiki/core/vectorstore.py (33.9s, 1.4/min, ETA: 35m 57s)
